dataset,row_index,issue_type,review_priority,reason,has_url,validator_has_url,has_phone_number,validator_has_phone,label,sender_type,category,level,human_decision,notes,content
synthetic_label_0,1391,possible missed URL,high,unsupported-tld domain path,0,0,0,0,0,brandname,Thương mại điện tử,,,,Shopee: Don hang #240512JKLMOP cua ban da dat thanh cong. Shop dang chuan bi hang. Theo doi tai shp.ee/track
synthetic_label_0,1396,possible missed URL,high,unsupported-tld domain path,0,0,0,0,0,brandname,Thương mại điện tử,,,,Shopee: Don hang #240512BBNMQP cua ban da dat thanh cong. Du kien giao 14/05-16/05. Theo doi tai shp.ee/order
synthetic_label_1,3387,possible missed URL,high,leet-tld domain,0,0,0,0,1,brandname,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),,,Bộ Y Tế: Cap nh4t thong t1n t13m chong ngay de tranh bi hu1 ho so tr3n he thong. Link: b0yt3-vn.t0p
synthetic_label_1,3389,possible missed URL,high,leet-tld domain,0,0,0,0,1,shortcode,Dịch vụ công giả,LEVEL 1 – Leet nhẹ (thay 1-2 ký tự),,,[TONG CUC THUE] Thong bao: Ho so HOAN THUE cua ban da zuoc zu-y3t. Nh4n t13n tai: thue-online.v1p
synthetic_label_1,3391,possible missed URL,high,leet-tld domain,0,0,0,0,1,brandname,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,VNeID: He thong ph4t h13n tai kh04n chu4 dinh z4nh. Bam vao vne1d-gov.v1p de cap nh4t thong t1n ngay.
synthetic_label_1,3396,possible missed URL,high,leet-tld domain,0,0,0,0,1,brandname,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,Bộ Công an: Thong b4o kh0n cap v3 v13c cap nh4t CCCD. Bam vao Bo-c0ng-4n.v1p de thuc h13n.
synthetic_label_1,3402,possible missed URL,high,leet-tld domain,0,0,0,0,1,brandname,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,VNeID: Cap nh4t ung zung v3 f13n ban moi de tranh bi kh04 tai kh04n. L1nk: vne1d-update.t0p
synthetic_label_1,3405,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,Bộ GTVT: Thong b4o g14 han b4ng lai x3 s4p h3t han. Truy cap gtvt-gov.v1p de l4m thu tuc.
synthetic_label_1,3407,possible missed URL,high,leet-tld domain,0,0,0,0,1,shortcode,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,[TONG CUC THUE] Ban da zuoc xet du-yet hoan thue 2.500.000d. Bam vao hoanthue-tncn.v1p de nh4n.
synthetic_label_1,3411,possible missed URL,high,leet-tld domain,0,0,0,0,1,brandname,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,C4nh s4t G14o thong: Xe cua ban v1 f4m l01 zung do. Bam vao d1chvu-ph4tngu01.v1p de dong f4t.
synthetic_label_1,3419,possible missed URL,high,leet-tld domain,0,0,0,0,1,shortcode,Dịch vụ công giả,LEVEL 2 – Leet nặng + tên riêng,,,[TONG CUC THUE] Du z!eu k!en nh4n t13n HOAN THUE. Bam vao hoanthuetncn-gov.v1p de nh4n.
synthetic_label_1,4317,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,,,"789Bet t4nj 68-888k kh1 dky tai mn8v1.c0m. B4cc4r4t truc t13p, ch01 j4, x0 s0. Rut t13n 3 phut. CSKH 24/24"
synthetic_label_1,4319,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,,,"V7Bet t4nj 77k kh1 dky tai v5n9p.c0m. B4cc4r4t truc t13p, ch01 j4, x0 s0. Rut t13n 3 phut. CSKH 24/24"
synthetic_label_1,4321,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,,,"8DAY t4nj 99k kh1 dky tai d8p3n.c0m. B4cc4r4t truc t13p, ch01 j4, x0 s0. Rut t13n 3 phut. CSKH 24/24"
synthetic_label_1,4323,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,,,"Awin t4nj 50k kh1 dky tai a2n8p.c0m. B4cc4r4t truc t13p, ch01 j4, x0 s0. Rut t13n 3 phut. CSKH 24/24"
synthetic_label_1,4336,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,,,"K1m L0nj C4s1n0 t4nj 88-888k kh1 dky tai k5v1m.c0m. B4cc4r4t, ch01 j4. Rut 3 phut"
synthetic_label_1,4340,possible missed URL,high,leet-tld domain,0,0,0,0,1,personal_number,Cờ bạc / Betting,LEVEL 2 – Leet nặng + tên riêng,,,"G141 tr1 2Q t4nj 150k kh1 dky tai q8n2p.c0m. B4cc4r4t truc t13p, ch01 j4. Rut t13n 3 phut"
synthetic_label_0,945,possible false phone positive,high,non-contact ID context near a row marked has_phone_number=1,0,0,1,1,0,personal_number,Tin nhắn cá nhân và OTP,,,,Don hang tu Lazada dang duoc giao den ban. Shipper 0903123456.
synthetic_label_0,1835,possible false phone positive,high,non-contact ID context near a row marked has_phone_number=1,0,0,1,1,0,brandname,Vận chuyển,,,,[VTP] Ma van don VTP998877665. Giao khong thanh cong lan 1 do Quy khach hen ngay giao lai. Giao vien: 0922334455.
synthetic_label_0,2367,possible false phone positive,high,non-contact ID context near a row marked has_phone_number=1,0,0,1,1,0,brandname,Dịch vụ công thật,,,,[BHXH VN] Ma so BHXH cua Nguyen Van A la 0123456789. Quy khach co the dung ma nay de dang ky tai khoan VssID va tra cuu thong tin.
synthetic_label_0,2713,possible false phone positive,high,non-contact ID context near a row marked has_phone_number=1,0,0,1,1,0,brandname,Quảng cáo hợp lệ,,,,ShopeePay: Giảm ngay 20.000đ cho đơn hàng ShopeeFood khi thanh toán bằng ví ShopeePay. Nhập mã SPPNEW áp dụng đến hết ngày 31/05/2025. CSKH: 19001221.
