content,label,data_origin
Chứ lúc thích thật thì chỉ dám nép ở góc tường từ xa nhìn ng ta,0,external_real
nhìn xem đay là 1 hay 2ng vậy pà con,0,external_real
Nhìn thấy khách nợ 1 năm rồi ngại k dám ngẩng mặt lên,0,external_curated
Nhận bóng làm ck mà!!!,0,external_real
dạ bạn e cũng làm ngân hàng,0,external_curated
Xe nổ máy thì cứ gọi còn xe tắt máy thì liệu hồn gọi là nhan viên bật lại ngay,0,external_curated
Đời lắm ng thích ko làm mà đòi có ăn :))),0,external_real
Tiểu học thôi chứ c2 là k còn quả nào đâu :)),0,external_real
Trộm vía là h việc nhẹ lương cao phụ huynh thì siêu đáng yêu,0,external_curated
29t lương cb 4.528.000 vnđ,0,external_curated
Nhưng mà chốt câu vẫn là đưa tk đây,0,external_curated
Vô cty rồi nhưng nt xin lên phòng trễ 20p,0,external_curated
"bạn ơi, công an vs tòa án triệu tập sẽ gửi giấy về nhà, nên là đừng tin gì liên hệ qua ĐT, nhớ nhắc ba mẹ ở nhà nữa nhé",0,external_curated
"cứ bình tĩnh, ny chị Hảo giờ chắc đang học lớp 9",0,external_real
Mà nghe nhiều vụ án mới thấy công an mình giỏi nhg cũng nhờ dân mình quá nhiệt tình trình báo luôn,0,external_curated
Chồng teo thà mất tiền chứ nhất quyết kg bao giờ chịu đòi.,0,external_curated
"dạo này mình mơi dạy, khó khăn hơn mình nghĩ và cũng thấy khá là thú vị hehe (có 55k thôi nhưng cũng dc ròi)",0,external_curated
"Xấu mặt dân Hp đi ngta là con gái hô hoán lao đánh đ hiểu nghĩ gì ,mấy ng đánh đ nghĩ rằng ví dụ con gái mình ra đường bị thế thì nghĩ sao ?",0,external_curated
nhìn z chứ kh ph z=)),0,external_real
cta nên đeo cái nì,0,external_real
hồi đó mẹ sắm cho cọng dây chiền đeo mà t cũng cắm lấy 5tr đi Vũng Tàu  trùng hợp quãi đạn,0,external_curated
"E k biết đủ hay ko nhưng tính sơ sơ 1 tháng mất 4-5tr cho th cu con tiền học mẫu giáo, sữa , bỉm vs lặt vặt của nó",0,external_curated
Nh khi buộc phải làm vì ng t muốn gửi k dùng tóp tóp,0,external_real
ngày trc vào mình thì chắc còn độc lá,0,external_real
"Gu của bn mình là phim ""chữa lành"" nhỉ",0,external_real
"Nhiều vợ chồng , làm ở kcn, lương tổng hai ng nới được 15tr mà vẫn con cái học đàng hoàng mà.",0,external_curated
Có lẽ nào GÀ sắp tuyệt chủng rồi ko?,0,external_real
Tình trạng chung của ae lấy vợ rồi,0,external_real
ăn tàn phá hại như mấy con nứng lol trên tiktok thì có 50 tr cũng đell đủ cho nó sài.,0,external_curated
lúc nào gọi về mẹ cũng hỏi sắp về chưa mẹ phần đồ ăn cho đó còn thằng e thì cũng hỏi t sắp về chưa nhưng là để nó dọn hết đống đồ ăn nó tích trong tủ trước khi t về em ún mất nết vl,0,external_real
Disney có tuyển vai câm ko e ko bt nói tiếng anh,0,external_curated
Ck nước mình chịu thương chịu khó thì đéo chịu lấy,0,external_curated
"Tôi kể về người bạn trong tưởng tượng, ngay chiều hôm đó tôi có mặt ở văn phòng bs tâm lý",0,external_curated
Tết này chắc ko có gà ngậm hoa hồng rồi,0,external_curated
ngta hỏi k có cx ngại mà có cho vay r k dám đòi cx vid ngại,0,external_curated
"các b cứ yên tâm, bộ ngoại giao thì phản đối chứ bộ quốc phòng thì vẫn sẵn sàng, nói chung là tầm vài năm nữa TQ nó hoàn thiện rồi trao trả lại cho mình, mình đỡ đc bao nhiêu việc",0,external_curated
K cục súc mà xem video muốn cục súc vđ,0,external_curated
:)) ngược lại r may quá,0,external_real
"Cứ nhìn mặt khứa này là nhớ tới cái cảnh ổng dô trụ sở công an nói có nàng tiên cá bắt ổng, xong 2 cha công an làm khùng làm điên cười muốn xĩu",0,external_curated
lương bạn nam 10tr mà lương bạn nữ chưa tới con số đó thì cũng k nên dè bỉu,0,external_curated
Thấy mấy ae đòi nợ bên FE nên bão trọng,0,external_curated
Không chứng minh được thu nhập hơn chồng thì làm sao giành quyền nuôi con với ngta được,0,external_curated
mọi ng dạo này khẩu vị bị làm sao ấy nhở?,0,external_real
"Ủa nma trừ quả chanh thì đồ cắt dở hay vd thức ăn dư bỏ tủ phải bọc lại chứ ạ, giả sử ko dùng màng bọc tp thì cũng phải cho vô hộp hoặc bỏ túi bóng buộc lại chứ ta, sợ mùi các thứ ám nhau vs nhiễm khuẩn chéo lắm",0,external_curated
xem tuyển tập phim chữa lành Thái Lan khum :))),0,external_curated
Kiện cho cả họ nhà nó lên phường xem nó còn hổ báo cáo chồn đc ko.,0,external_curated
Món này bán ở dâu vậy ạ mng ?,0,external_real
Ta cưới là ta cưới mặt thằng nào như mặt anh này mặt này thương vợ còn mấy cái thằng bth mới giết vợ đánh vợ đó kkk,0,external_real
A e bên thuế vụ rất thích điều này,0,external_curated
"k bt trl nó bảo mình chảnh , cay vãi =))",0,external_curated
nhìn vậy mà kêu ko chuyên,0,external_real
phải học theo giọng cừi mới đc,0,external_real
cf sao quay phòng chi z,0,external_curated
Câu chiện tình dã man...,0,external_real
"chả thế ak, t bảo mẹ t đi làm nma t bảo lương t có 2tr thôi, còn lương thật thì...",0,external_curated
"Hôn x t mất cmn hứng luôn , xong 2 vck cãi nhau , thế là mỗi đứa 1 góc giường",0,external_curated
Nước đi này tại hạ đ lường trước được,0,external_curated
Ngta thì bắt con cái kết hôn còn nhà mình thì ngược lại,0,external_real
cái này với túi phân bón nữa là đúng kiểu thương hiệu túi VN với ng nước ngoài,0,external_real
Không ngờ tới đoạn này chứ giề,0,external_real
hõng có có giọng mỉa mai xỏ lá dị nha,0,external_real
gần nhà kao mà kao ch ik lần nào chỉ có ik ngang:)),0,external_real
"Chanel màu đỏ tươi :))) mịn và che dc vân môi, đánh dày và ăn gian ra ngoài chút màu đỏ sang lắm",0,external_real
"mấy thằng HP bị đá đểu ăn hoa cải thay cơm đ biết nhục còn lấy làm vinh hạnh, hở tí là ra cái vẻ giang hồ cơ",0,external_curated
"Giống cô Lee Boojin ghê, thích kiểu đẹp sắc sảo tri thức lắm luôn, nhan sắc có thể phai nhạt theo thời gian nhưng khí chất k bao giờ biến mất",0,external_real
"T thích ng đẹp trai, nên chỉ cần đẹp trai là t quẹt phải",0,external_real
Đang nói tui đó hả tr,0,external_real
Cười ỉa cười tụt si lips cười đái tháo đường cười ko lối thoát,0,external_real
bánh kem còn to hơn sn t nữa,0,external_real
"Sao trước ce tung hô bảo chỉ cần lấy giống tây cho con đẹp là được, giờ thì khóc thuê làm gì",0,external_real
chứ đưa lên nhiều v k phát uổng lắm,0,external_real
tìm 1 con ship về coii,0,external_real
kiếm tiền đi cái này lè,0,external_curated
Lên tiktok thì đạo lý quan trọng tụi m có làm được hay không thôi,0,external_real
gia đình sức khoẻ tiền mới qt bạn ko coa thì thôi,0,external_real
Tẩy chay đi mn ơi,0,external_real
Thui đi zai tập trung mà học đi,0,external_real
ce mh còn ko có rau mà cuộn,0,external_real
e nghĩ đến c …,0,external_real
"Nuôi chó mà nhốt lại, t nhốt m một năm xem m có ra cắn ng ko",0,external_real
mẹ ơi con xin lõy,0,external_real
s nhiều ng zô nói 10tr sống khoẻ sống zui mà 2vc mình làm quá chời thấy cũng thiếu zị ba,0,external_curated
già thì mình đóng vai bố vai mẹ đẹp vẫn đc mà,0,external_real
"Càng ngày càng xinh á trời quoiiii, chị đẹpppppp",0,external_real
"thẫn thờ thiệt á, đổi đời dc như này lun á hả",0,external_real
"Xin chào mn ạ, đây là chiếc page nhỏ của tụi mình, mong thời gian tới được mn ghé thăm và follow ủng hộ ạ",0,external_real
đúng là ng hải phòng ko lòng vòng,0,external_curated
dẫn tráu tới đây cho 2 ngày k còn quả nào luôn,0,external_real
"Muốn ăn mà đéo muốn trả , Nói FE thì ai chả biết, v sao biết mà vẫn đâm đầu vào, hốc đc trả đc chứ đã chơi ngu còn ngông thế này , gđ nhà bạn gái kiện bỏ mẹ nó đi.",0,external_curated
tính xin 5 trịu đi đâu nè =)))))))))))))),0,external_curated
Sau khi đòi nợ bất thành mình rút ra 1 kinh nghiệm là từ giờ có thừa tiền đi nhóm bếp cũng đell bh cho đứa nào vay,0,external_curated
"Bà mie,vẫn thốn đến tận bây giờ.",0,external_real
"Ờ tưởng ko ăn thịt mỡ bị mắng vô duyên thì hơi quá, nhưng mà bới đồ ăn thì vô cmn duyên rồi dỗi hờn j nữa",0,external_curated
"hên quá, mình 5tr vẫn có ck, jo thì mjh k lương luôn rồi",0,external_curated
lâu r xem lại vẫn đ thể không cười được :)),0,external_curated
tui nhìn tin nhắn cụa  nhắn lạt nhách quá nên tui ko rep :))),0,external_real
"Nhắm k ăn đc thì k gắp, bới bị nói là đúng ùi",0,external_real
"Ngta đổi đời thì enjoy, hạnh phúc lắm, còn mình thì",0,external_real
kiến thức kì quái này đã đc tiếp thu =))))))),0,external_real
Cno dáng đẹp hơn cả mình :)),0,external_curated
"Thằng điên, gặp t, t chạy liền ngay và lập tức",0,external_real
"Đúng ời, kg phải nói chớ, tui làm lương tháng 30tr,  tới 15 tây là nhận 5tr5 còn 24tr5 còn lại thì tui dề ngủ mơ tiếp",0,external_curated
"Mang tin nhắn ra trình báo công an thôi bạn, trình báo rõ ràng sự việc, công an gọi đôi bên ra giải quyết, chứ gặp riêng nch nó nổi điên lên thì mình thiệt thân thôi b",0,external_curated
ra dẻ r mà đ ai im,0,external_curated
"lương ks 3000 , thấy các bạn trẻ kiếm tiền dễ ghê",0,external_curated
"T nghĩ là ai cũng 1 thời như vậy , đổ hết sức lực , thời gian , gia đình lẫn bạn bè và những mqh khác chỉ để cày bừa vào công việc nhưng cái nhận lại là sự sụt giảm về tư tưởng cũng như sức khoẻ",0,external_real
vãi chg t ko ngờ mày là như vậy,0,external_curated
"Hoa Duong đưngf có thử nka, nghiện ah",0,external_real
chỉ muốn nói bằng mọi giá sẽ lo cho gia đình vk con một cuộc sống mở mắt ra là có người nt đòi nợ,0,external_curated
k nói đâu chỉ lẳng lặng làm r qtam những thứ nhỏ nhặt nhất,0,external_real
cơ mà giờ đã có bí kíp của ad ròi,0,external_real
rõ ràng là cơm choá,0,external_real
Ướt mưa quen r ko cần che nữa :))))),0,external_real
"Bọn này nó thích ăn thịt mày thế nhỉ  , cno chế đủ món",0,external_curated
Lương 10 tr 5 tr xin mẹ chắc cqr đời ở vs mẹ thôi,0,external_curated
tôi chỉ thấy lạ lòn khi yêu cầu công việc thì đơn giản mức lương trả thì tầm trung cho cấp junior mà lúc đến thấy toàn yêu cầu và đòi hỏi cho cấp senior trở lên,0,external_curated
T nghĩ cái điều này từ lớp 8 rùi  nên t thấy hôn nhân nó kì kì quãi dù t ngưỡng mộ thiệt,0,external_curated
lúc đẹp thì kén ck tây lúc già xấu bị lừa thì khóc với lóc,0,external_curated
"Những ng mà nói rằng 6-7tr cũng đủ sống, thì mới chỉ là đang thực hiện hành động ""tồn tại"" thôi",0,external_curated
s nó quen quen chị ạ,0,external_real
E xin đ/c hộ b ạ,0,external_real
"Thế nhà mình ngược lại , ng ko ăn đc mỡ là mẹ ck mình, ngồi bữa ăn bới bới , cầm đũa gảy hết đĩa thịt lại đến bát dưa sung, dưa sung cũng gảy bung bét , chả hiểu tìm quả sung gắn vàng hay gì ,nhìn khó chịu .",0,external_real
Tui éo nhớ luôn trời ôi.,0,external_curated
bình tĩnh nha b ơi,0,external_real
bán hổng đủ target sữa điều là mẹ bắt uống sữa rau xanh ó,0,external_real
Mắc đ gì chê vậy,0,external_curated
khỏi lo lương kh đủ sống luôn,0,external_curated
nhưng mà sẽ ko có ảnh chụp mình tại concert đâuuuu ko có kỷ niệm rất buồnnnnn,0,external_real
T đòi chỉ sợ cno dỗi.,0,external_curated
mình lương 5tr k biết nói gì,0,external_curated
Rồi vẫn ko hiểu thế lực nào xui khiến 2 con được 10đ lịch sử.,0,external_curated
doc cmt roi lua di ck iu,0,external_real
Mức thu nhập bình quân đầu người vn đang dứoi 10 tr thế thì phải bn người ế vợ,0,external_curated
Bỏ tiền nghỉ làm đi ăn cưới nó zị mà tụi nó đi làm kím xiền,0,external_curated
"Xem ở đâu vậy mọi người, mình lên mango tv xem tập 2 vẫn ko thấy",0,external_real
h các em đợi tan học ra trước cổng trường mua đồ ăn vặt hết rồi,0,external_real
Nó cho CA ít tiền là chìm hết ấy.,0,external_curated
Ở đó chắc ko dám ra đường,0,external_real
"cách đây 2 năm tôi có quen với 1 anh bạn khá giỏi về mảng thị trường quốc tế , nghe anh ta kể về thị trường hay lắm , nên tui bảo anh ta là giải thích cho tui , và tới bây h tui mới hỉu đc , lạm pháp , nợ công , … nó là như thế nào",0,external_curated
Nhìn chú tài xế hỏn lọn,0,external_real
"Gọi đéo dậy, bảo giờ đầu óc e chẳng nhớ gì",0,external_curated
Chẳng chê 10tr nhưng thật sự là k đủ cho 1 giá đình độc lập nhé,0,external_curated
T thấy đầy thằng chả có lương đồng nào vẫn lấy vợ đẻ con sòn sòn kìa,0,external_curated
"Rất giỏi mỗi tội nghèo thời gian tập luyện , lấy ngay thằng ck giàu là ngon hơn đi thi đấu rồi",0,external_real
gội kiểu gi mà nó ko đc nnay,0,external_real
"gây tê nửa người nên vẫn nhận thức đc ông bs đang dùng búa phang ầm ầm ở dứi, rồi mùi khét khét thơm thơm khi đốt sụn chêm, lâu lâu lại có mấy câu chửi mấy anh thực tập viên vì đem thiếu dụng cụ r khoan mãi một lỗ mà ko xong :))))",0,external_curated
Trc mổ lấy vít ở chân mình bác sĩ cũng phải leo lên bàn mổ mới có thế vặn vít ra =)))),0,external_real
k sinh sự với nta nhma nó ngta sinh thì m đẻ =)),0,external_real
ko tưởng tượng nhma vẫn có arghhh xì chét voãi,0,external_curated
rất chi là giận em nhs,0,external_real
t đi thi cũng mún riêng tư để chép phao lắm mời giám thị ra ngoài hiccc,0,external_curated
nhưng mặc áo trắng đi ctruong bẩn v~ lỏn,0,external_curated
Tội cho cô gái ấy hở :>>,0,external_real
"Báo ngta không, đi thì đi 1 mình",0,external_real
đm t thề k bao h vay lại thêm thằng fe nữa,0,external_curated
hồi 19 tuổi tôi bối rối ko biết nên xin ba 20k hay 50k,0,external_curated
má c đi ra đường cẩn thận nha bà,0,external_real
Chủ nhật đó mn tỉnh táo lên,0,external_real
Người ta lương 10 triệu 2 vk ck lm cty vẫn nuôi 2 đứa con xây nhà đó thôi,0,external_curated
nhìu lúc muốn khóc muốn kể chuyện nma sợ mng sẽ chẳng ai lắng nghe mình,0,external_real
thấy hình póng con nhện của phòng tụi em :)),0,external_curated
Lương c 100 triệu trong đó 5 triệu lương cứng 95 triệu lương tâm.,0,external_curated
"Gòi xong, công sức tập tành coi như bỏ sông bỏ biển",0,external_real
Nọ t đang làm thâý 1 đưá hs ng Hàn sách túi naỳ,0,external_real
"đã cần tiền , ko có tài sản thế chấp cầm cố, vay ko được nơi nào khác, kể cả gia đình dòng họ cũng ko cho mượn",0,external_curated
Sao m lại k thích ăn đồ của con nhờ,0,external_real
May quá lương minhg 5tr nên chắc là định ở vậy rồi,0,external_curated
Còn ko cho nhân viên nghỉ ngơi,0,external_curated
mưa nào mà mưa hỏng tạnh,0,external_real
"Nhưng mà khoan, team để Chi  highnote lun hả =)))",0,external_curated
"Qua đường t toàn bế con,vì t biết con mình hiếu động nó hay chạy nhảy lung tung,qua đường xong mới thả xuống,chứ bị lsao thì con mình bị thiệt trước đã",0,external_real
"bạn ơi báo công an đi, bạn k sai ngta sai mà, làm sao sống mà cứ lo âu như vậy được.",0,external_curated
Quả chân gà uy tín kia e,0,external_real
"như kiểu t 1 đợt bị dị ứng mạnh vch thì h n hết nè, thần kì lắm",0,external_curated
lương 5 trịu thì bao giờ mới lấy vợ được ạ,0,external_curated
theo kịch bản thì c còn 2 năm nữa,0,external_real
nhờ nhà nước bảo lưu một tgian thôi chứ có gì đâu mà nghiêm trọng,0,external_real
Hồi t 19t còn đang vừa học vừa đi làm thêm tháng lg có 1 chẹo,0,external_curated
"T k lương vẫn lấy đc vợ, nên thôi lót dép ngồi hóng =))",0,external_curated
quyết tâm ko ra khỏi phòng,0,external_curated
Thì nghỉ chơi chứ giận del j,0,external_curated
kìa bà khởi nghiệp kiếm xèng học lại bơi,0,external_curated
Mong đc lương 10 củ còn ko có chỗ nào chứa đây,0,external_curated
"Tháng nào mẹ tui cũng giục đóng tiền đt vì nhân viên gọi oai oái, căn bản toàn quên",0,external_curated
bic ai trả luôn r đó,0,external_real
nhà t hồi xưa có mấy túi hàng hiệu kiểu này :))),0,external_real
kiến thức này tiếp thu ko?,0,external_real
có hướng nội khum? Có thì mai tui ib mượn xiền,0,external_curated
"Có 1 bệnh nhân nhập viện với triệu chứng dị ứng, nhưng khổ cái là mn éo biết bệnh nhân bị dị ứng cái éo gì cả?",0,external_curated
T Fan MC mà nếu Real thắng thì cũng thấy xứng đáng và tất nhiên MC thắng thì ko gì vui hơn rồi,0,external_real
Hướng ngờ chứ nội j,0,external_real
Đúng chất hải phòng ko lòng vòng,0,external_curated
T muốn ăn mang cụt chín 100k 3kg cơ,0,external_curated
khôm đc nghỉ hè kiểu,0,external_real
May quá lương 3 chẹo,0,external_curated
chưa có bạn trai nên ko so sánh được,0,external_real
lương 5 chẹo vẫn tươi lắm nhể,0,external_curated
Bruno Mars mà về VN diễn thử  t đu cho = đc,0,external_curated
Độc thân lấy ck cho dễ…,0,external_real
"Quân ni là bị dọa: Bứt xoài là báo phụ huynh, ông bảo vệ nhốt vô phòng bảo vệ, phạt dưới cờ",0,external_curated
T nợ rất nhiều ân tình,0,external_curated
"Là người Tân Cương luôn đúng k dạ, trông quyền lực quãi đạn luôn",0,external_curated
"Cái này nó hot ở Nhật 5/6 năm trước rồi,cno xách đầy đường",0,external_curated
Nghèo như mình ko thấy ai hỏi vay,0,external_curated
Báo CA thôi k cần phốt lgi.,0,external_curated
sau đi thi nhớ ktr hết mọi thứ,0,external_real
"Cuộc sống là 2 ng bồi đắp, phụ nữ đâu có thực dụng mà để đàn ông nuôi, 2 ng lương 10 triệu thì cũng đủ sống rồi,,, theo tui nghĩ dọ, nhma cũng muốn có ng nuôi",0,external_curated
còn miếng dán ngáy ko,0,external_real
ông ny biết mà k hỗ trợ ônh tồi vl,0,external_real
"Nếu mà với cách hàng xử ntn,để con ntn sớm muộn gì cũng phải gặp Diêm Vương thôi",0,external_real
Thế mà ck mình lương 5tr cứ đòi lấy thêm vk nữa :)),0,external_curated
Đôi khi tình cảm ngt nhìn vào tiểu tiết cũng cảm nhận được,0,external_real
Ít nhất có ng nhắc để đc điểm t đếu ai nhắc:]],0,external_curated
t ko chill ở 2 lần nữa m chill chung với t ở đây đi,0,external_real
Lỡ a là con gái e có thương hok,0,external_real
97 tài khoản 157k thì 19t ngta có >157 tỉ,0,external_curated
Về với Sướng ca thui chị ơi,0,external_real
cho e vay 500tr ik,0,external_curated
Mình lương hơn 10tr cụ thể là 10tr200 thể nào vẫn lấy đc vợ,0,external_curated
t đưa tờ 20k cũng bị chửi nữa chứ,0,external_curated
Con dùng ít em sợ hết hạn vứt đi lại phí nên uống hộ hoy mà,0,external_real
"T còn đéo có lương đây này,vẫn lấy vk đẹp và có 2 đứa con,vẫn lo cho 2 đứa con đi học bình thường 5tr/1 tháng/1đứa",0,external_curated
gia sư nhớ rủ t đi cùng nx nhé,0,external_real
